nom_commune_adherente;code_insee_commune_adherente;zip_code;nom_commune_zip
Guimps;16160;16300;Guimps, 16300
Vignolles;16405;16300;Vignolles, 16300
Saint-Palais-du-Né;16342;16300;Saint-Palais-du-Né, 16300
Challignac;16074;16300;Challignac, 16300
Barret;16030;16300;Barret, 16300
Montmérac;16224;16300;Montmérac, 16300
Brie-sous-Barbezieux;16062;16300;Brie-sous-Barbezieux, 16300
Saint-Aulais-la-Chapelle;16301;16300;Saint-Aulais-la-Chapelle, 16300
Saint-Médard;16338;16300;Saint-Médard, 16300
Angeduc;16014;16300;Angeduc, 16300
Le Bois-Plage-en-Ré;17051;17580;Le Bois-Plage-en-Ré, 17580
Avignon;84007;84140;Avignon, 84140
Bouillé-Courdault;85028;85420;Bouillé-Courdault, 85420
Maillezais;85133;85420;Maillezais, 85420
Nieul-sur-l'Autise;85162;85420;Nieul-sur-l'Autise, 85420
Rives-d'Autise;85162;85420;Rives-d'Autise, 85420
Liez;85123;85420;Liez, 85420
Damvix;85078;85420;Damvix, 85420
Saint-Sigismond;85269;85420;Saint-Sigismond, 85420
Maillé;85132;85420;Maillé, 85420
Le Mazeau;85139;85420;Le Mazeau, 85420
Saint-Pierre-le-Vieux;85265;85420;Saint-Pierre-le-Vieux, 85420
Serra-di-Ferro;2A276;20140;Serra-di-Ferro, 20140
Petreto-Bicchisano;2A211;20140;Petreto-Bicchisano, 20140
Casalabriva;2A071;20140;Casalabriva, 20140
Moca-Croce;2A160;20140;Moca-Croce, 20140
Sollacaro;2A284;20140;Sollacaro, 20140
Olivese;2A186;20140;Olivese, 20140
Argiusta-Moriccio;2A021;20140;Argiusta-Moriccio, 20140
Valence-en-Poitou;86082;86700;Valence-en-Poitou, 86700
Anché;86003;86700;Anché, 86700
Couhé;86082;86700;Couhé, 86700
Romagne;86211;86700;Romagne, 86700
Voulon;86296;86700;Voulon, 86700
Bouilland;21092;21420;Bouilland, 21420
Pernand-Vergelesses;21480;21420;Pernand-Vergelesses, 21420
Aloxe-Corton;21010;21420;Aloxe-Corton, 21420
Échevronne;21241;21420;Échevronne, 21420
Savigny-lès-Beaune;21590;21420;Savigny-lès-Beaune, 21420
Louannec;22134;22700;Louannec, 22700
Saint-Quay-Perros;22324;22700;Saint-Quay-Perros, 22700
Perros-Guirec;22168;22700;Perros-Guirec, 22700
La Postolle;89310;89260;La Postolle, 89260
Thorigny-sur-Oreuse;89414;89260;Thorigny-sur-Oreuse, 89260
La Chapelle-sur-Oreuse;89080;89260;La Chapelle-sur-Oreuse, 89260
Perceneige;89469;89260;Perceneige, 89260
Voisines;89483;89260;Voisines, 89260
Étouvans;25224;25260;Étouvans, 25260
Longevelle-sur-Doubs;25345;25260;Longevelle-sur-Doubs, 25260
Colombier-Fontaine;25159;25260;Colombier-Fontaine, 25260
Saint-Maurice-Colombier;25524;25260;Saint-Maurice-Colombier, 25260
Montenois;25394;25260;Montenois, 25260
Lougres;25350;25260;Lougres, 25260
Boutigny-sur-Essonne;91099;91820;Boutigny-sur-Essonne, 91820
Vayres-sur-Essonne;91639;91820;Vayres-sur-Essonne, 91820
Mours-Saint-Eusèbe;26218;26540;Mours-Saint-Eusèbe, 26540
Montreuil;93048;93100;Montreuil, 93100
Chennebrun;27155;27820;Chennebrun, 27820
Armentières-sur-Avre;27019;27820;Armentières-sur-Avre, 27820
Saint-Christophe-sur-Avre;27521;27820;Saint-Christophe-sur-Avre, 27820
Bonneuil-sur-Marne;94011;94380;Bonneuil-sur-Marne, 94380
Pouldergat;29224;29100;Pouldergat, 29100
Poullan-sur-Mer;29226;29100;Poullan-sur-Mer, 29100
Kerlaz;29090;29100;Kerlaz, 29100
Le Juch;29087;29100;Le Juch, 29100
Douarnenez;29046;29100;Douarnenez, 29100
L' Estréchure;30108;30124;L' Estréchure, 30124
Peyrolles;30195;30124;Peyrolles, 30124
Champagne-sur-Oise;95134;95660;Champagne-sur-Oise, 95660
Saint-Christol-lès-Alès;30243;30380;Saint-Christol-lès-Alès, 30380
Bessières;31066;31660;Bessières, 31660
Buzet-sur-Tarn;31094;31660;Buzet-sur-Tarn, 31660
Vélieux;34326;34220;Vélieux, 34220
Saint-Pons-de-Thomières;34284;34220;Saint-Pons-de-Thomières, 34220
Courniou;34086;34220;Courniou, 34220
Boisset;34034;34220;Boisset, 34220
Riols;34229;34220;Riols, 34220
Verreries-de-Moussans;34331;34220;Verreries-de-Moussans, 34220
Rieussec;34228;34220;Rieussec, 34220
Montreuil-sous-Pérouse;35194;35500;Montreuil-sous-Pérouse, 35500
Saint-M'Hervé;35300;35500;Saint-M'Hervé, 35500
Champeaux;35052;35500;Champeaux, 35500
La Chapelle-Erbrée;35061;35500;La Chapelle-Erbrée, 35500
Saint-Aubin-des-Landes;35252;35500;Saint-Aubin-des-Landes, 35500
Erbrée;35105;35500;Erbrée, 35500
Pocé-les-Bois;35229;35500;Pocé-les-Bois, 35500
Balazé;35015;35500;Balazé, 35500
Taillis;35330;35500;Taillis, 35500
Vitré;35360;35500;Vitré, 35500
Cornillé;35087;35500;Cornillé, 35500
Avessac;44007;44460;Avessac, 44460
Saint-Nicolas-de-Redon;44185;44460;Saint-Nicolas-de-Redon, 44460
Fégréac;44057;44460;Fégréac, 44460
Lailly-en-Val;45179;45740;Lailly-en-Val, 45740
NAUSSAC;48105;48300;NAUSSAC, 48300
Naussac-Fontanes;48105;48300;Naussac-Fontanes, 48300
Saint-Flour-de-Mercoire;48150;48300;Saint-Flour-de-Mercoire, 48300
Pierrefiche;48112;48300;Pierrefiche, 48300
Cheylard-l'Évêque;48048;48300;Cheylard-l'Évêque, 48300
Chastanier;48041;48300;Chastanier, 48300
Langogne;48080;48300;Langogne, 48300
Rocles;48129;48300;Rocles, 48300
Moyon Villages;50363;50860;Moyon Villages, 50860
MOYON;50363;50860;MOYON, 50860
Lavernoy;52275;52140;Lavernoy, 52140
Dammartin-sur-Meuse;52162;52140;Dammartin-sur-Meuse, 52140
Is-en-Bassigny;52248;52140;Is-en-Bassigny, 52140
Avrecourt;52033;52140;Avrecourt, 52140
Rançonnières;52415;52140;Rançonnières, 52140
Lavilleneuve;52277;52140;Lavilleneuve, 52140
Sarrey;52461;52140;Sarrey, 52140
Val-de-Meuse;52332;52140;Val-de-Meuse, 52140
Chauffourt;52120;52140;Chauffourt, 52140
Rangecourt;52416;52140;Rangecourt, 52140
Saulxures;52465;52140;Saulxures, 52140
Chailland;53048;53420;Chailland, 53420
Loisy;54320;54700;Loisy, 54700
Villers-sous-Prény;54579;54700;Villers-sous-Prény, 54700
Morville-sur-Seille;54387;54700;Morville-sur-Seille, 54700
Pont-à-Mousson;54431;54700;Pont-à-Mousson, 54700
Norroy-lès-Pont-à-Mousson;54403;54700;Norroy-lès-Pont-à-Mousson, 54700
Champey-sur-Moselle;54114;54700;Champey-sur-Moselle, 54700
Port-sur-Seille;54433;54700;Port-sur-Seille, 54700
Bouxières-sous-Froidmont;54091;54700;Bouxières-sous-Froidmont, 54700
Vittonville;54589;54700;Vittonville, 54700
Vilcey-sur-Trey;54566;54700;Vilcey-sur-Trey, 54700
Blénod-lès-Pont-à-Mousson;54079;54700;Blénod-lès-Pont-à-Mousson, 54700
Montauville;54375;54700;Montauville, 54700
Atton;54027;54700;Atton, 54700
Mousson;54390;54700;Mousson, 54700
Lesménils;54312;54700;Lesménils, 54700
Jezainville;54279;54700;Jezainville, 54700
Maidières;54332;54700;Maidières, 54700
Sainte-Geneviève;54474;54700;Sainte-Geneviève, 54700
Dieuze;57177;57260;Dieuze, 57260
Guébling;57268;57260;Guébling, 57260
Blanche-Église;57090;57260;Blanche-Église, 57260
Bourgaltroff;57098;57260;Bourgaltroff, 57260
Gelucourt;57246;57260;Gelucourt, 57260
Cutting;57161;57260;Cutting, 57260
Val-de-Bride;57270;57260;Val-de-Bride, 57260
Guébestroff;57265;57260;Guébestroff, 57260
Rorbach-lès-Dieuze;57595;57260;Rorbach-lès-Dieuze, 57260
Desseling;57173;57260;Desseling, 57260
Bassing;57053;57260;Bassing, 57260
Bidestroff;57081;57260;Bidestroff, 57260
Lindre-Basse;57404;57260;Lindre-Basse, 57260
Lindre-Haute;57405;57260;Lindre-Haute, 57260
Domnom-lès-Dieuze;57181;57260;Domnom-lès-Dieuze, 57260
Tarquimpol;57664;57260;Tarquimpol, 57260
Guéblange-lès-Dieuze;57266;57260;Guéblange-lès-Dieuze, 57260
Guermange;57272;57260;Guermange, 57260
Vergaville;57706;57260;Vergaville, 57260
Saint-Médard;57621;57260;Saint-Médard, 57260
Zommange;57763;57260;Zommange, 57260
Mulcey;57493;57260;Mulcey, 57260
Assenoncourt;57035;57260;Assenoncourt, 57260
Gravelines;59273;59820;Gravelines, 59820
Saint-Georges-sur-l'Aa;59532;59820;Saint-Georges-sur-l'Aa, 59820
La Bazoque;61030;61100;La Bazoque, 61100
Montilly-sur-Noireau;61287;61100;Montilly-sur-Noireau, 61100
Saint-Paul;61443;61100;Saint-Paul, 61100
Athis-Val de Rouvre;61007;61100;Athis-Val de Rouvre, 61100
Cerisy-Belle-Étoile;61078;61100;Cerisy-Belle-Étoile, 61100
Durcet;61148;61100;Durcet, 61100
ATHIS-DE-L'ORNE;61007;61100;ATHIS-DE-L'ORNE, 61100
Landisacq;61222;61100;Landisacq, 61100
La Selle-la-Forge;61466;61100;La Selle-la-Forge, 61100
La Lande-Patry;61218;61100;La Lande-Patry, 61100
Caligny;61070;61100;Caligny, 61100
Aubusson;61011;61100;Aubusson, 61100
Saint-Georges-des-Groseillers;61391;61100;Saint-Georges-des-Groseillers, 61100
Landigou;61221;61100;Landigou, 61100
La Chapelle-au-Moine;61094;61100;La Chapelle-au-Moine, 61100
La Chapelle-Biche;61095;61100;La Chapelle-Biche, 61100
Flers;61169;61100;Flers, 61100
La Lande-Saint-Siméon;61219;61100;La Lande-Saint-Siméon, 61100
Sainte-Opportune;61436;61100;Sainte-Opportune, 61100
Vélu;62840;62124;Vélu, 62124
Lebucquière;62493;62124;Lebucquière, 62124
Bus;62189;62124;Bus, 62124
Léchelle;62494;62124;Léchelle, 62124
Beaumetz-lès-Cambrai;62096;62124;Beaumetz-lès-Cambrai, 62124
Ruyaulcourt;62731;62124;Ruyaulcourt, 62124
Barastre;62082;62124;Barastre, 62124
Haplincourt;62410;62124;Haplincourt, 62124
Morchies;62591;62124;Morchies, 62124
Metz-en-Couture;62572;62124;Metz-en-Couture, 62124
Beugny;62122;62124;Beugny, 62124
Bertincourt;62117;62124;Bertincourt, 62124
Ytres;62909;62124;Ytres, 62124
Neuville-Bourjonval;62608;62124;Neuville-Bourjonval, 62124
Bouvelinghem;62169;62380;Bouvelinghem, 62380
Coulomby;62245;62380;Coulomby, 62380
Lumbres;62534;62380;Lumbres, 62380
Bayenghem-lès-Seninghem;62088;62380;Bayenghem-lès-Seninghem, 62380
Setques;62794;62380;Setques, 62380
Bléquin;62140;62380;Bléquin, 62380
Esquerdes;62309;62380;Esquerdes, 62380
Wavrans-sur-l'Aa;62882;62380;Wavrans-sur-l'Aa, 62380
Elnes;62292;62380;Elnes, 62380
Remilly-Wirquin;62702;62380;Remilly-Wirquin, 62380
Dohem;62271;62380;Dohem, 62380
Quercamps;62675;62380;Quercamps, 62380
Ledinghem;62495;62380;Ledinghem, 62380
Vaudringhem;62837;62380;Vaudringhem, 62380
Acquin-Westbécourt;62008;62380;Acquin-Westbécourt, 62380
Nielles-lès-Bléquin;62613;62380;Nielles-lès-Bléquin, 62380
Ouve-Wirquin;62644;62380;Ouve-Wirquin, 62380
Wismes;62897;62380;Wismes, 62380
Cléty;62229;62380;Cléty, 62380
Seninghem;62788;62380;Seninghem, 62380
Affringues;62010;62380;Affringues, 62380
Saint-Anthème;63319;63660;Saint-Anthème, 63660
La Chaulme;63104;63660;La Chaulme, 63660
Saint-Clément-de-Valorgue;63331;63660;Saint-Clément-de-Valorgue, 63660
Saint-Romain;63394;63660;Saint-Romain, 63660
Marignana;2A154;20141;Marignana, 20141
Saumane;30310;30125;Saumane, 30125
Beaudéan;65078;65710;Beaudéan, 65710
Campan;65123;65710;Campan, 65710
Bagnères-de-Bigorre;65059;65710;Bagnères-de-Bigorre, 65710
Ruelisheim;68289;68270;Ruelisheim, 68270
Wittenheim;68376;68270;Wittenheim, 68270
Amplepuis;69006;69550;Amplepuis, 69550
Saint-Jean-la-Bussière;69214;69550;Saint-Jean-la-Bussière, 69550
Cublize;69070;69550;Cublize, 69550
Meaux-la-Montagne;69130;69550;Meaux-la-Montagne, 69550
Ronno;69169;69550;Ronno, 69550
Nogent-le-Bernard;72220;72110;Nogent-le-Bernard, 72110
Bonnétable;72039;72110;Bonnétable, 72110
